measure,location,sex,age,cause,metric,year,val,upper,lower
Prevalence,China,Both,All ages,Uterine cancer,Rate,1999,30.235523083609998,39.91191296145,19.80091252402
Prevalence,China,Both,All ages,Uterine cancer,Number,2000,393030.9504178887,512097.3334291137,253223.97764448763
Prevalence,China,Both,All ages,Uterine cancer,Rate,2000,31.23425070855,40.696480728809995,20.12376174129
Prevalence,China,Both,All ages,Uterine cancer,Number,2001,406903.7837835248,533020.9150091093,266453.39888156985
Prevalence,China,Both,All ages,Uterine cancer,Rate,2001,32.19909966823,42.17899722644,21.084983451739998
Prevalence,China,Both,All ages,Uterine cancer,Number,2002,415445.7181390419,539756.526889086,272097.4396060172
Prevalence,China,Both,All ages,Uterine cancer,Rate,2002,32.714136459669994,42.50295021633,21.42622340524
Prevalence,China,Both,All ages,Uterine cancer,Number,2003,429526.0774151622,555288.3513100652,291480.48621055065
Prevalence,China,Both,All ages,Uterine cancer,Rate,2003,33.63897698984,43.488237512510004,22.827730105769998
Prevalence,China,Both,All ages,Uterine cancer,Number,2004,444364.9573569392,567376.6231192352,310599.42882657016
Prevalence,China,Both,All ages,Uterine cancer,Rate,2004,34.59435644277,44.17096535745,24.180546134100002
Prevalence,China,Both,All ages,Uterine cancer,Number,2005,466518.33500076487,579693.750110115,329154.9815997095
Prevalence,China,Both,All ages,Uterine cancer,Rate,2005,36.08454530574,44.838506484999996,25.45968069213
Prevalence,China,Both,All ages,Uterine cancer,Number,2006,489240.99910302,610983.3210299968,354009.7800039611
Prevalence,China,Both,All ages,Uterine cancer,Rate,2006,37.57952559022,46.93078337658,27.19216012403
Prevalence,China,Both,All ages,Uterine cancer,Number,2007,513549.2333526414,637050.65253166,374634.8945448586
Prevalence,China,Both,All ages,Uterine cancer,Rate,2007,39.1596712158,48.57702529919,28.56703572619
Prevalence,China,Both,All ages,Uterine cancer,Number,2008,527088.50369191,658089.7184626851,381651.3602248971
Prevalence,China,Both,All ages,Uterine cancer,Rate,2008,39.8965480966,49.81233307238,28.88807428485
Prevalence,China,Both,All ages,Uterine cancer,Number,2009,531216.8702236644,659274.518323173,392277.469533403
Prevalence,China,Both,All ages,Uterine cancer,Rate,2009,39.92276087982,49.54673020474,29.480990707480004
Prevalence,China,Both,All ages,Uterine cancer,Number,2010,528734.1798899366,646764.9138226284,389844.9746332647
Prevalence,China,Both,All ages,Uterine cancer,Rate,2010,39.48273645207,48.2965724747,29.111313351849997
Prevalence,China,Both,All ages,Uterine cancer,Number,2011,515308.8870168337,634253.0021314526,388310.7574440585
Prevalence,China,Both,All ages,Uterine cancer,Rate,2011,38.264211557900005,47.09639531988,28.833977731420003
Prevalence,China,Both,All ages,Uterine cancer,Number,2012,496641.35422890494,630632.5868097676,388148.3895508069
Prevalence,China,Both,All ages,Uterine cancer,Rate,2012,36.662981047689996,46.55446104394,28.65383023104
Prevalence,China,Both,All ages,Uterine cancer,Number,2013,474720.4355615803,642561.149196448,379279.1558559178
Prevalence,China,Both,All ages,Uterine cancer,Rate,2013,34.823394442360005,47.135447888049995,27.822243701210002
Prevalence,China,Both,All ages,Uterine cancer,Number,2014,459621.7553715655,671592.3776504166,362766.6357478162
Prevalence,China,Both,All ages,Uterine cancer,Rate,2014,33.49931385925,48.948692226729996,26.440074358
Prevalence,China,Both,All ages,Uterine cancer,Number,2015,453335.8622430042,702962.1846115591,340034.60129181604
Prevalence,China,Both,All ages,Uterine cancer,Rate,2015,32.81659633108,50.8868328534,24.6148147071
Prevalence,China,Both,All ages,Uterine cancer,Number,2016,458762.5415005704,732780.1582875962,335324.3894854596
Prevalence,China,Both,All ages,Uterine cancer,Rate,2016,32.96467218265,52.65438111161001,24.09494580372
Prevalence,China,Both,All ages,Uterine cancer,Number,2017,469471.96547945647,759502.3062174978,349513.92636989726
Prevalence,China,Both,All ages,Uterine cancer,Rate,2017,33.49225319133,54.18309379402999,24.934415208209998
